CCTV1,rtp://239.254.200.45:8008
CCTV2,rtp://239.254.200.158:6000
CCTV3,rtp://239.254.201.152:7205
CCTV4,rtp://239.254.200.190:6307
CCTV5,rtp://239.254.201.153:7206
CCTV5+,rtp://239.254.200.46:8004
CCTV6,rtp://239.254.201.154:7207
CCTV7,rtp://239.254.200.159:6000
CCTV8,rtp://239.254.201.155:7208
CCTV9,rtp://239.254.200.59:8112
CCTV10,rtp://239.254.200.160:6000
CCTV11,rtp://239.254.201.123:8120
CCTV12,rtp://239.254.200.161:6000
CCTV13,rtp://239.254.200.9:8264
CCTV14,rtp://239.254.200.162:6000
CCTV15,rtp://239.254.201.124:8136
CCTV17,rtp://239.254.201.120:8144
CETV1,rtp://239.254.200.225:6259
CETV4,rtp://239.254.200.227:6261
CETV5,rtp://239.254.201.230:7253
CCTV4欧洲,rtp://239.254.201.205:4220
CCTV4美洲,rtp://239.254.201.206:4220
电视指南,rtp://239.254.201.217:7250
第一剧场,rtp://239.254.201.218:7258
风云剧场,rtp://239.254.201.219:7257
怀旧剧场,rtp://239.254.201.220:7256
风云音乐,rtp://239.254.201.221:7259
风云足球,rtp://239.254.201.222:7251
高尔夫网球,rtp://239.254.201.223:7252
兵器科技,rtp://239.254.201.225:7249
世界地理,rtp://239.254.201.226:7254
女性时尚,rtp://239.254.201.228:7255
文化精品,rtp://239.254.201.229:7260
央视台球,rtp://239.254.201.171:7176
安徽卫视,rtp://239.254.200.163:6000
北京卫视,rtp://239.254.200.47:8024
东方卫视,rtp://239.254.200.52:8032
东南卫视,rtp://239.254.201.13:6291
广东卫视,rtp://239.254.200.56:8048
广西卫视,rtp://239.254.200.80:8300
贵州卫视,rtp://239.254.201.20:6315
海南卫视,rtp://239.254.201.125:6288
河北卫视,rtp://239.254.200.174:6000
河南卫视,rtp://239.254.201.16:7174
黑龙江卫视,rtp://239.254.200.49:8016
湖北卫视,rtp://239.254.200.164:6000
湖南卫视,rtp://239.254.200.48:8012
吉林卫视,rtp://239.254.201.15:6339
纪实科教,rtp://239.254.200.188:6311
江苏卫视,rtp://239.254.200.51:8028
江西卫视,rtp://239.254.201.12:6290
金鹰纪实,rtp://239.254.200.189:6293
金鹰卡通,rtp://239.254.200.92:9252
辽宁卫视,rtp://239.254.200.57:8056
求索记录,rtp://239.254.201.176:7221
山东卫视,rtp://239.254.200.55:8052
深圳卫视,rtp://239.254.200.50:8020
四川卫视,rtp://239.254.200.202:6325
天津卫视,rtp://239.254.200.54:1234
浙江卫视,rtp://239.254.200.53:8036
重庆卫视,rtp://239.254.200.203:6323
金色学堂,rtp://239.254.201.182:7227
乐游频道,rtp://239.254.201.200:6356
九屏高清,rtp://239.254.200.248:6000
凤凰卫视电影台,rtp://239.254.201.1:5214
凤凰卫视中文台,rtp://239.254.201.2:5226
凤凰卫视资讯台,rtp://239.254.201.3:5227
睛彩高清,rtp://239.254.200.27:6000
农民高清,rtp://239.254.200.23:6000
经济高清,rtp://239.254.200.18:6000
都市高清,rtp://239.254.200.19:6000
影视高清,rtp://239.254.200.20:6000
少儿高清,rtp://239.254.200.21:6000
公共高清,rtp://239.254.200.22:6000
武术高清,rtp://239.254.201.224:7229
梨园,rtp://239.254.201.231:7228
围棋清,rtp://239.254.201.156:6270
茶频道,rtp://239.254.200.228:6258
欢笑剧场,rtp://239.254.201.164:6355
动漫秀场,rtp://239.254.201.165:6358
生活时尚,rtp://239.254.201.166:6359
都市剧场,rtp://239.254.201.167:6360
东方财经,rtp://239.254.201.181:7214
法治天地,rtp://239.254.201.183:7226
中华美食,rtp://239.254.201.189:7171
石家新闻,rtp://239.254.200.157:6000
石家庄娱乐,rtp://239.254.200.29:6000
石家庄生活,rtp://239.254.200.30:6000
石家庄都市,rtp://239.254.200.31:6000
承德新闻,rtp://239.254.200.32:6000
承德公共,rtp://239.254.200.33:6000
秦岛新闻,rtp://239.254.200.39:6000
秦岛公共,rtp://239.254.200.40:6000
秦岛影视,rtp://239.254.200.41:6000
唐山新闻,rtp://239.254.200.166:6000
唐山生活,rtp://239.254.200.167:6000
唐山影视,rtp://239.254.200.168:6000
唐山公共,rtp://239.254.200.169:6000
廊坊新闻,rtp://239.254.200.183:6000
廊坊公共,rtp://239.254.200.184:6000
保定新闻,rtp://239.254.200.144:6000
衡水新闻,rtp://239.254.200.147:6000
衡水公共,rtp://239.254.200.149:6000
邢台综合,rtp://239.254.200.150:6000
邢台城市,rtp://239.254.200.152:6000
邯郸新闻,rtp://239.254.200.153:6000
邯郸公共,rtp://239.254.200.154:6000
邯郸科教,rtp://239.254.200.155:6000
高邑高清,rtp://239.254.201.24:5170
深泽高清,rtp://239.254.201.108:5180
赵县高清,rtp://239.254.201.111:5183
晋州高清,rtp://239.254.201.127:5184
井陉高清,rtp://239.254.201.215:6167
平泉高清,rtp://239.254.200.177:5286
兴隆高清,rtp://239.254.201.95:5295
隆化高清,rtp://239.254.201.142:5296
崇礼高清,rtp://239.254.201.117:5267
邱县高清,rtp://239.254.201.129:6209
康保高清,rtp://239.254.201.135:5270
遵化高清,rtp://239.254.201.146:5202
滦南高清,rtp://239.254.201.22:5191
玉田高清,rtp://239.254.201.28:5194
大厂高清,rtp://239.254.201.71:5310
文安高清,rtp://239.254.201.103:5314
三河高清,rtp://239.254.201.113:5315
永清高清,rtp://239.254.201.141:5316
成安高清,rtp://239.254.201.143:6210
魏县高清,rtp://239.254.201.148:6211
黄骅高清,rtp://239.254.201.36:5325
吴桥高清,rtp://239.254.201.138:5337
丰宁高清,rtp://239.254.200.5:5290
阜平高清,rtp://239.254.201.40:5248
涞水高清,rtp://239.254.201.10:5250
涞源高清,rtp://239.254.200.213:5260
高碑店高清,rtp://239.254.200.210:5254
唐县高清,rtp://239.254.201.41:5264
定州高清,rtp://239.254.201.74:6251
雄县高清,rtp://239.254.201.94:6254
容城高清,rtp://239.254.201.102:6256
柏乡高清,rtp://239.254.201.140:5383
徐水高清,rtp://239.254.201.147:6260
安平高清,rtp://239.254.201.42:5348
饶阳高清,rtp://239.254.201.44:5353
深州高清,rtp://239.254.201.46:5357
故城高清,rtp://239.254.201.126:5362
枣强高清,rtp://239.254.201.136:5363
清河高清,rtp://239.254.200.170:5366
武安高清,rtp://239.254.201.6:5216
临漳高清,rtp://239.254.201.73:5221
杂技普清,rtp://239.254.201.139:7203
沧州新闻,rtp://239.254.200.42:6000
沧州公共,rtp://239.254.200.43:6000
沧州影视,rtp://239.254.200.44:6000
保定公共,rtp://239.254.200.145:6000
保定生活,rtp://239.254.200.146:6000
栾城普清,rtp://239.254.200.215:5173
滦平普清,rtp://239.254.201.4:5291
双滦普清,rtp://239.254.201.63:5293
任县普清,rtp://239.254.201.115:5381
邯山普清,rtp://239.254.201.116:5225
顺平普清,rtp://239.254.201.118:6257
张北普清,rtp://239.254.201.130:5271
赤城普清,rtp://239.254.201.131:5269
昌黎普清,rtp://239.254.201.61:5230
抚宁普清,rtp://239.254.201.213:5232
卢龙普清,rtp://239.254.201.216:5233
丰南普清,rtp://239.254.200.218:5186
迁西普清,rtp://239.254.201.26:5188
香河普清,rtp://239.254.201.32:5306
