CCTV1,rtp://239.49.8.19:9614
CCTV2,rtp://239.49.8.50:9802
CCTV3,rtp://239.49.8.74:8000
CCTV4,rtp://239.49.8.51:9806
CCTV5,rtp://239.49.8.75:8000
CCTV5+,rtp://239.49.8.18:9610
CCTV6,rtp://239.49.8.76:8000
CCTV7,rtp://239.49.0.126:8000
CCTV8,rtp://239.49.8.77:8000
CCTV9,rtp://239.49.8.53:9814
CCTV10,rtp://239.49.8.54:9818
CCTV11,rtp://239.49.0.127:8000
CCTV12,rtp://239.49.8.55:9822
CCTV13,rtp://239.49.8.109:8000
CCTV14,rtp://239.49.8.56:9826
CCTV15,rtp://239.49.0.128:8000
CCTV16,rtp://239.49.8.31:8000
CCTV17,rtp://239.49.8.52:9810
CETV1,rtp://239.49.8.115:8000
CETV4,rtp://239.49.0.125:8000
安徽卫视,rtp://239.49.8.80:8000
北京卫视,rtp://239.49.8.11:9414
东方卫视,rtp://239.49.8.17:9606
东南卫视,rtp://239.49.8.112:8000
广东卫视,rtp://239.49.8.13:9422
广西卫视,rtp://239.49.8.10:8000
贵州卫视,rtp://239.49.8.49:8000
海南卫视,rtp://239.49.8.83:8000
河北卫视,rtp://239.49.8.114:8000
河南卫视,rtp://239.49.8.29:8000
黑龙江卫视,rtp://239.49.8.14:9426
湖北卫视,rtp://239.49.8.8:9632
湖南卫视,rtp://239.49.8.12:9418
吉林卫视,rtp://239.49.8.113:8000
江苏卫视,rtp://239.49.8.16:9602
江西卫视,rtp://239.49.8.111:8000
金鹰纪实,rtp://239.49.8.79:8000
金鹰卡通,rtp://239.49.8.33:8000
辽宁卫视,rtp://239.49.8.48:8000
三沙卫视,rtp://239.49.0.167:8000
山东卫视,rtp://239.49.8.7:9306
深圳卫视,rtp://239.49.8.15:9430
四川卫视,rtp://239.49.8.110:8000
天津卫视,rtp://239.49.8.35:8620
优漫卡通,rtp://239.49.8.119:8000
云南卫视,rtp://239.49.0.177:8000
浙江卫视,rtp://239.49.8.20:9618
重庆卫视,rtp://239.49.8.57:9830
山东教育卫视,rtp://239.49.0.235:8000
江苏新闻,rtp://239.49.8.120:8000
江苏城市,rtp://239.49.8.107:8000
江苏综艺,rtp://239.49.8.108:8000
江苏体育休闲,rtp://239.49.8.117:8000
江苏影视,rtp://239.49.8.118:8000
江苏教育,rtp://239.49.8.122:8000
江苏国际,rtp://239.49.0.22:8168
江苏南京生活,rtp://239.49.0.184:9438
江苏南京教科,rtp://239.49.0.183:9434
江苏南京十八,rtp://239.49.0.26:8200
江苏南京新闻,rtp://239.49.0.25:8192
江苏南京影视,rtp://239.49.0.24:8000
江苏南京娱乐,rtp://239.49.0.38:8000
江苏南京信息,rtp://239.49.0.75:8000
江苏南京少儿,rtp://239.49.0.45:8000
武术世界,rtp://239.49.0.205:8000
文物宝库,rtp://239.49.0.209:8000
梨园,rtp://239.49.8.193:8000
第一财经,rtp://239.49.1.199:6000
金色频道,rtp://239.49.1.169:6000
都市剧场,rtp://239.49.1.170:6000
动漫秀场,rtp://239.49.1.171:6000
幸福彩台,rtp://239.49.1.172:6000
乐游,rtp://239.49.1.173:6000
法治天地,rtp://239.49.1.174:6000
七彩戏剧,rtp://239.49.1.175:6000
游戏风云,rtp://239.49.1.177:6000
极速汽车,rtp://239.49.1.178:6000
魅力足球,rtp://239.49.1.179:6000
生活时尚,rtp://239.49.1.181:6000
东方财经,rtp://239.49.1.182:6000
