CCTV1,rtp://239.252.219.200:5140
CCTV2,rtp://239.252.220.183:5140
CCTV3,rtp://239.252.219.252:5140
CCTV4,rtp://239.252.220.184:5140
CCTV5,rtp://239.252.219.198:5140
CCTV5+,rtp://239.252.219.72:5140
CCTV6,rtp://239.252.219.237:5140
CCTV7,rtp://239.252.220.185:5140
CCTV8,rtp://239.252.219.253:5140
CCTV9,rtp://239.252.220.186:5140
CCTV10,rtp://239.252.220.91:5140
CCTV11,rtp://239.252.219.78:5140
CCTV12,rtp://239.252.220.187:5140
CCTV13,rtp://239.252.219.139:5140
CCTV-14少儿,rtp://239.252.220.92:5140
CCTV-15音乐,rtp://239.252.219.79:5140
CCTV16,rtp://239.252.220.237:5140
CCTV-17农业农村,rtp://239.252.220.192:5140
CCTV4欧洲,rtp://239.252.219.192:5140
CCTV4美洲,rtp://239.252.219.193:5140
CHC影迷电影,rtp://239.252.219.83:5140
CHC家庭影院,rtp://239.252.219.84:5140
CHC动作电影,rtp://239.252.219.85:5140
第一剧场,rtp://239.252.219.86:5140
风云剧场,rtp://239.252.219.89:5140
怀旧剧场,rtp://239.252.219.90:5140
央视文化精品,rtp://239.252.219.81:5140
央视台球,rtp://239.252.219.80:5140
风云音乐,rtp://239.252.219.87:5140
女性时尚,rtp://239.252.219.94:5140
高尔夫网球,rtp://239.252.219.95:5140
风云足球,rtp://239.252.219.96:5140
电视指南,rtp://239.252.219.97:5140
世界地理,rtp://239.252.219.93:5140
兵器科技,rtp://239.252.219.98:5140
甘肃卫视,rtp://239.252.219.140:5140
海南卫视,rtp://239.252.219.178:5140
广西卫视,rtp://239.252.219.183:5140
云南卫视,rtp://239.252.219.185:5140
天津卫视,rtp://239.252.220.61:5140
湖南卫视,rtp://239.252.219.201:5140
北京卫视,rtp://239.252.219.206:5140
湖北卫视,rtp://239.252.219.208:5140
江西卫视,rtp://239.252.220.63:5140
浙江卫视,rtp://239.252.219.210:5140
黑龙江卫视,rtp://239.252.219.211:5140
深圳卫视,rtp://239.252.219.212:5140
广东卫视,rtp://239.252.219.213:5140
江苏卫视,rtp://239.252.219.214:5140
山东卫视,rtp://239.252.219.228:5140
东方卫视,rtp://239.252.219.229:5140
辽宁卫视,rtp://239.252.220.62:5140
东南卫视,rtp://239.252.220.82:5140
安徽卫视,rtp://239.252.220.83:5140
四川卫视,rtp://239.252.220.93:5140
重庆卫视,rtp://239.252.220.94:5140
河北卫视,rtp://239.252.220.154:5140
吉林卫视,rtp://239.252.220.188:5140
贵州卫视,rtp://239.252.220.190:5140
河南卫视,rtp://239.252.220.189:5140
山西卫视,rtp://239.252.219.27:5140
青海卫视,rtp://239.252.219.46:5140
陕西卫视,rtp://239.252.219.105:5140
内蒙古卫视,rtp://239.252.219.48:5140
厦门卫视,rtp://239.252.219.75:5140
三沙卫视,rtp://239.252.219.76:5140
新疆卫视,rtp://239.252.219.100:5140
兵团卫视,rtp://239.252.219.107:5140
山东教育卫视,rtp://239.252.219.74:5140
CETV1,rtp://239.252.220.198:5140
CETV2,rtp://239.252.219.73:5140
CETV4,rtp://239.252.219.169:5140
金鹰卡通,rtp://239.252.219.69:5140
金鹰纪实,rtp://239.252.220.155:5140
茶频道,rtp://239.252.220.160:5140
快乐垂钓,rtp://239.252.220.177:5140
梨园频道,rtp://239.252.220.179:5140
武术世界,rtp://239.252.220.180:5140
文物宝库,rtp://239.252.220.158:5140
CGTN英语,rtp://239.252.219.194:5140
CGTN纪录,rtp://239.252.219.195:5140
CGTN西班牙语,rtp://239.252.219.196:5140
CGTN法语,rtp://239.252.219.65:5140
CGTN俄语,rtp://239.252.219.67:5140
CGTN阿拉伯语,rtp://239.252.219.66:5140
CCTV4K,rtp://239.252.219.60:5140
江西都市频道,rtp://239.252.220.238:5140
江西经济生活,rtp://239.252.219.173:5140
江西影视旅游,rtp://239.252.220.242:5140
江西公共农业,rtp://239.252.220.102:5140
江西少儿频道,rtp://239.252.219.113:5140
江西新闻频道,rtp://239.252.220.100:5140
江西教育频道,rtp://239.252.219.115:5140
华数4K电影,rtp://239.252.220.212:5140
昌飞航空,rtp://239.252.220.47:5140
中国天气,rtp://239.252.219.143:5140
哈哈炫动,rtp://239.252.219.43:5140
卡酷少儿,rtp://239.252.219.109:5140
嘉佳卡通,rtp://239.252.219.92:5140
新动漫,rtp://239.252.220.132:5140
华数少儿动画,rtp://239.252.220.136:5140
华数动画,rtp://239.252.219.165:5140
华数魅力时尚,rtp://239.252.220.137:5140
华数热播剧场,rtp://239.252.220.138:5140
华数经典电影,rtp://239.252.220.139:5140
华数城市剧场,rtp://239.252.220.75:5140
华数军旅剧场,rtp://239.252.220.76:5140
华数古装剧场,rtp://239.252.220.77:5140
华数武侠剧场,rtp://239.252.220.88:5140
华数喜剧影院,rtp://239.252.220.79:5140
华数动作影院,rtp://239.252.220.85:5140
华数碟战剧场,rtp://239.252.220.145:5140
华数星影,rtp://239.252.220.210:5140
华数精选,rtp://239.252.219.161:5140
家庭影院,rtp://239.252.220.86:5140
IPTV6华数电影,rtp://239.252.220.142:5140
IPTV3综艺,rtp://239.252.220.140:5140
IPTV5体育,rtp://239.252.220.211:5140
IPTV7军事,rtp://239.252.220.206:5140
IPTV8电视剧,rtp://239.252.220.143:5140
IPTV收视指南,rtp://239.252.220.144:5140
IPTV相声小品,rtp://239.252.220.146:5140
IPTV10野外,rtp://239.252.220.73:5140
IPTV11戏曲,rtp://239.252.219.163:5140
IPTV12法治,rtp://239.252.220.74:5140
IPTV14早教,rtp://239.252.219.164:5140
IPTV15音乐,rtp://239.252.220.87:5140
IPTV爱生活,rtp://239.252.220.89:5140
IPTV好学生,rtp://239.252.220.90:5140
IPTV鉴赏,rtp://239.252.219.166:5140
IPTV墨宝,rtp://239.252.219.168:5140
IPTV美人,rtp://239.252.220.202:5140
IPTV足球,rtp://239.252.220.205:5140
IPTV地理,rtp://239.252.220.207:5140
IPTV美妆,rtp://239.252.220.208:5140
IPTV解密,rtp://239.252.220.209:5140
光影,rtp://239.252.220.200:5140
