CCTV1,rtp://239.61.3.61:9884
CCTV2,rtp://239.61.2.174:9032
CCTV3,rtp://239.61.3.34:9722
CCTV4,rtp://239.61.2.206:9224
CCTV5,rtp://239.61.3.35:9728
CCTV6,rtp://239.61.3.36:9734
CCTV7,rtp://239.61.2.175:9038
CCTV8,rtp://239.61.3.37:9740
CCTV9,rtp://239.61.2.172:9020
CCTV10,rtp://239.61.2.176:9044
CCTV11,rtp://239.61.2.21:8120
CCTV12,rtp://239.61.2.177:9050
CCTV13,rtp://239.61.2.23:8132
CCTV14,rtp://239.61.2.178:9056
CCTV15,rtp://239.61.2.25:8144
CCTV17,rtp://239.61.3.9:9572
CCTV5+,rtp://239.61.2.171:9014
东方卫视,rtp://239.61.2.28:8162
湖南卫视,rtp://239.61.2.31:8180
江苏卫视,rtp://239.61.2.30:8174
浙江卫视,rtp://239.61.2.29:8168
河北卫视,rtp://239.61.2.57:8336
广东卫视,rtp://239.61.2.33:8192
山东卫视,rtp://239.61.2.119:8708
湖北卫视,rtp://239.61.2.120:8714
深圳卫视,rtp://239.61.3.46:9794
黑龙江卫视,rtp://239.61.2.34:8198
贵州卫视,rtp://239.61.2.159:8942
安徽卫视,rtp://239.61.2.248:9476
天津卫视,rtp://239.61.2.180:9068
四川卫视,rtp://239.61.2.251:9494
江西卫视,rtp://239.61.2.182:9080
辽宁卫视,rtp://239.61.2.181:9074
重庆卫视,rtp://239.61.2.250:9488
北京卫视,rtp://239.61.2.32:8186
云南卫视,rtp://239.61.2.61:8360
河南卫视,rtp://239.61.2.59:8348
海南卫视,rtp://239.61.2.42:8246
广西卫视,rtp://239.61.2.48:8282
甘肃卫视,rtp://239.61.2.225:9338
吉林卫视,rtp://239.61.2.223:9326
青海卫视,rtp://239.61.2.60:8354
宁夏卫视,rtp://239.61.2.56:8330
吉林卫视,rtp://239.61.2.223:9326
山西卫视,rtp://239.61.2.224:9332
甘肃卫视,rtp://239.61.2.225:9338
内蒙古卫视,rtp://239.61.2.226:9344
新疆卫视,rtp://239.61.2.227:9350
兵团卫视,rtp://239.61.2.228:9356
西藏卫视,rtp://239.61.2.229:9362
CHC动作电影,rtp://239.61.3.16:9616
CETV1,rtp://239.61.2.167:8990
CETV2,rtp://239.61.3.6:9554
CETV4,rtp://239.61.3.15:9608
凤凰资讯,rtp://239.61.2.183:9086
凤凰中文,rtp://239.61.2.184:9092
东南卫视,rtp://239.61.2.132:8708
福建综合频道,rtp://239.61.3.4:9542
福建公共频道,rtp://239.61.2.3:8012
福建新闻频道,rtp://239.61.2.4:8018
福建电视剧频道,rtp://239.61.2.5:8024
福建经济频道,rtp://239.61.2.7:8036
福建文体频道,rtp://239.61.2.160:8948
福建少儿频道,rtp://239.61.2.9:8048
福建教育频道,rtp://239.61.2.173:9026
福建旅游频道,rtp://239.61.2.6:8030
海峡卫视,rtp://239.61.2.151:8894
三沙卫视,rtp://239.61.3.10:9578
厦门卫视,rtp://239.61.2.11:8060
CGTN英语,rtp://239.61.2.19:8108
CGTN纪录,rtp://239.61.3.43:9776
CGTN法语,rtp://239.61.3.44:9782
CGTN俄语,rtp://239.61.3.45:9788
金鹰纪实,rtp://239.61.3.7:9560
茶频道,rtp://239.61.3.59:9872
梨园频道,rtp://239.61.3.19:9634
文物宝库,rtp://239.61.3.21:9646
武术世界,rtp://239.61.3.22:9652
中国天气,rtp://239.61.2.64:8378
金鹰卡通,rtp://239.61.2.221:9314
卡酷少儿,rtp://239.61.2.222:9320
嘉佳卡通,rtp://239.61.2.72:8426
