CCTV1,rtp://235.254.198.51:1480
CCTV2,rtp://235.254.198.52:1484
CCTV3,rtp://235.254.198.53:1488
CCTV4,rtp://235.254.198.183:7980
CCTV5,rtp://235.254.198.54:1492
CCTV5+,rtp://235.254.198.122:1764
CCTV6,rtp://235.254.198.55:1496
CCTV7,rtp://235.254.198.56:1500
CCTV8,rtp://235.254.198.57:1504
CCTV9,rtp://235.254.198.58:1508
CCTV10,rtp://235.254.198.59:1512
CCTV11,rtp://235.254.198.7:1304
CCTV12,rtp://235.254.198.60:1516
CCTV13,rtp://235.254.198.9:1312
CCTV14,rtp://235.254.198.61:1520
CCTV15,rtp://235.254.198.11:1320
江苏卫视,rtp://235.254.198.64:1532
浙江卫视,rtp://235.254.198.63:1528
东方卫视,rtp://235.254.198.73:1568
深圳卫视,rtp://235.254.198.71:1560
北京卫视,rtp://235.254.198.66:1540
山东卫视,rtp://235.254.198.69:1552
天津卫视,rtp://235.254.198.67:1544
贵州卫视,rtp://235.254.198.185:7980
黑龙江卫视,rtp://235.254.198.70:1556
安徽卫视,rtp://235.254.198.65:1536
湖北卫视,rtp://235.254.198.72:1564
辽宁卫视,rtp://235.254.198.68:1548
湖南卫视,rtp://235.254.198.62:1524
广东卫视,rtp://235.254.196.204:1088
河北卫视,rtp://235.254.198.184:7980
四川卫视,rtp://235.254.198.175:7980
重庆卫视,rtp://235.254.196.249:1268
云南卫视,rtp://235.254.198.25:1376
广西卫视,rtp://235.254.198.38:1428
山西卫视,rtp://235.254.198.41:1440
江西卫视,rtp://235.254.198.29:1392
海南卫视,rtp://235.254.198.44:1452
陕西卫视,rtp://235.254.198.40:1436
东南卫视,rtp://235.254.198.129:7980
吉林卫视,rtp://235.254.198.39:1432
内蒙古卫视,rtp://235.254.198.42:1444
河南卫视,rtp://235.254.198.26:1380
宁夏卫视,rtp://235.254.198.45:1456
甘肃卫视,rtp://235.254.198.48:1468
青海卫视,rtp://235.254.198.43:1448
新疆卫视,rtp://235.254.198.47:1464
西藏卫视,rtp://235.254.198.46:1460
卡酷少儿,rtp://235.254.198.49:1472
金鹰卡通,rtp://235.254.198.50:1476
嘉佳卡通,rtp://235.254.198.110:1716
重庆新闻频道,rtp://235.254.196.199:7980
重庆影视剧频道,rtp://235.254.198.180:7980
重庆社会与法,rtp://235.254.198.181:7980
重庆红岩文化,rtp://235.254.198.182:7980
重庆文体娱乐,rtp://235.254.198.187:7980
重庆新农村,rtp://235.254.198.186:7980
重广融媒,rtp://235.254.196.218:1146
重庆少儿频道,rtp://235.254.196.214:1128
重庆红叶频道,rtp://235.254.196.215:1132
重庆汽摩频道,rtp://235.254.196.221:1156
重庆移动频道,rtp://235.254.196.217:1140
开州综合,rtp://235.254.198.145:1870
华数爱上4K,rtp://235.254.198.102:7980
华数少儿动画,rtp://235.254.198.116:1740
华数动画,rtp://235.254.198.87:1624
华数武侠剧场,rtp://235.254.198.97:1664
华数喜剧影院,rtp://235.254.198.98:1668
华数动作影院,rtp://235.254.198.99:1672
华数家庭影院,rtp://235.254.198.100:1676
华数星影,rtp://235.254.198.101:1680
华数精选,rtp://235.254.198.81:1600
华数经典电影,rtp://235.254.198.114:1732
华数城市剧场,rtp://235.254.198.74:1572
华数军旅剧场,rtp://235.254.198.75:1576
华数谍战剧场,rtp://235.254.198.117:1744
华数魅力时尚,rtp://235.254.198.115:1736
热播剧场,rtp://235.254.198.113:1728
古装剧场,rtp://235.254.198.76:1580
光影,rtp://235.254.198.91:1640
百视通精彩导视,rtp://235.254.196.101:1162
